,dprice_MA_t_1,d2,d6,d8,d12,d17,d22,d23,d29,d36,d58,d66,d67,d69,d93,dprice_MA_t
2017/9/18,-96.8928,0,-1,12,14,22,-4,4,-1,18,4,8,7,4,4,-94.59518
2017/9/19,-94.59518,-2,0,-3,-8,-9,2,-4,-6,-16,-5,-5,-11,-5,-7,26.40908
2017/9/20,26.40908,3,-1,-4,0,-4,-1,-4,18,14,-7,-6,4,2,-1,124.75668
2017/9/21,124.75668,-6,5,16,8,-3,5,2,-8,-4,9,7,0,0,4,40.65928
2017/9/22,40.65928,3,3,-16,-6,10,4,5,23,17,1,7,0,3,-3,-20.94558
2017/9/23,-20.94558,2,-7,9,-5,-6,-7,-5,-17,-13,-1,0,-2,-2,3,-21.71164
2017/9/24,-21.71164,-1,4,14,-2,-7,-4,2,-17,-16,-12,-5,-1,1,-5,-63.38594
2017/9/25,-63.38594,1,0,-23,1,3,5,-1,10,-4,0,-6,-1,-2,4,-48.07454
2017/9/26,-48.07454,1,-1,43,1,7,-1,1,8,30,6,11,7,2,5,-7.00132
2017/9/27,-7.00132,-2,-2,-23,1,-1,-2,4,-7,-14,-1,-7,-5,-6,-9,50.28186
2017/9/28,50.28186,-4,5,-15,4,-2,4,4,9,4,5,5,-3,10,3,113.0105
2017/9/29,113.0105,0,-4,8,-5,-8,-2,-6,-26,-8,-6,-2,0,-1,-2,85.12044
2017/9/30,85.12044,7,-1,12,2,-4,1,3,34,25,18,10,2,1,7,98.10682
2017/10/1,98.10682,-6,0,-6,-2,7,-3,-10,-22,-38,-15,-23,3,-8,-6,78.56268
2017/10/2,78.56268,5,1,11,5,8,3,2,10,35,-6,13,1,9,2,90.08312
2017/10/3,90.08312,-4,2,-29,1,2,-1,11,-19,-21,2,-16,1,-7,-5,36.86576
2017/10/4,36.86576,1,-1,2,-5,-12,0,-6,34,-2,9,21,-5,1,9,18.2635
2017/10/5,18.2635,2,-3,0,1,-1,1,-4,-8,26,-13,-13,1,2,-3,6.32006
2017/10/6,6.32006,-1,2,1,-2,5,-2,7,-13,-36,4,4,-1,-2,-1,0.69672
2017/10/7,0.69672,-1,-2,-8,2,0,-2,-7,-15,-8,-6,-11,0,-4,-4,-3.02394
2017/10/8,-3.02394,-1,0,2,-3,-11,-1,-3,1,9,2,0,-2,6,2,-2.13844
2017/10/9,-2.13844,2,6,42,-1,16,2,3,14,15,13,8,5,1,6,61.79484
2017/10/10,61.79484,-2,-5,-19,7,-5,8,-1,8,4,0,5,-2,1,-5,110.55854
2017/10/11,110.55854,1,-1,9,-7,-5,-7,6,-16,-24,-12,-13,-4,1,2,88.68558
2017/10/12,88.68558,-1,-1,-19,1,10,2,-7,4,-6,-7,4,7,-6,-4,94.77648
2017/10/13,94.77648,2,0,-1,3,-1,1,1,-5,22,7,-5,-6,-2,-2,189.7878
2017/10/14,189.7878,2,4,15,-3,-7,-4,1,2,-5,1,10,1,1,4,192.30514
2017/10/15,192.30514,-5,2,1,-2,-2,2,4,4,-4,0,-6,0,1,-2,192.2942
2017/10/16,192.2942,-1,-4,-24,2,-1,-1,-4,0,-2,-4,0,0,-1,1,173.00634
2017/10/17,173.00634,7,2,9,3,-3,0,3,-8,1,2,3,0,1,2,178.34402
2017/10/18,178.34402,-4,-2,3,3,22,-2,-1,35,19,6,2,2,0,0,55.71646
2017/10/19,55.71646,0,5,-18,-2,-11,3,28,-25,-7,2,1,2,3,-1,-3.52608
2017/10/20,-3.52608,15,3,41,1,21,4,-22,21,39,6,9,1,-3,5,-2.36104
2017/10/21,-2.36104,-11,-6,11,-2,-17,-7,-5,-22,-32,-8,-4,-3,0,-4,66.42964
2017/10/22,66.42964,-2,-4,-36,-2,-15,-1,-4,-11,-16,-8,-17,-3,0,-4,61.83316
2017/10/23,61.83316,0,2,-17,1,17,3,0,8,2,5,6,1,-4,10,75.89432
2017/10/24,75.89432,2,5,1,6,-13,-1,4,28,18,4,17,2,2,-8,65.98074
2017/10/25,65.98074,-5,-4,-1,-6,12,2,4,-12,-24,-1,-13,3,1,1,-44.36116
2017/10/26,-44.36116,-1,-1,7,2,-6,-1,-7,-16,-4,-4,-7,-7,0,-3,-61.96746
2017/10/27,-61.96746,6,0,-1,-2,-4,-3,0,-5,-9,0,-6,1,-4,-1,-25.44664
2017/10/28,-25.44664,-1,-1,-5,6,-4,0,4,16,23,3,8,2,5,5,-42.1359
2017/10/29,-42.1359,-4,-2,4,-10,-7,3,-6,-25,-23,-9,-8,-3,-4,-6,-19.87656
2017/10/30,-19.87656,-1,4,-4,2,4,-2,1,4,-3,5,3,3,-1,1,129.92128
2017/10/31,129.92128,2,-1,17,1,9,-1,3,5,31,6,5,4,2,2,87.25036
2017/11/1,87.25036,-3,-3,-10,-2,-9,3,-3,-6,-27,-9,-1,-7,2,0,99.10136
2017/11/2,99.10136,3,7,96,20,15,3,5,47,65,28,20,7,4,2,178.56034
2017/11/3,178.56034,6,1,-27,-15,-2,-3,-3,-24,-8,-13,0,-4,-2,-1,258.26462
2017/11/4,258.26462,-6,-6,-54,0,1,6,-1,-14,-15,-12,-10,-1,-1,0,208.4572
2017/11/5,208.4572,0,0,-11,-3,-17,-3,-1,-6,-45,-6,-15,0,-2,-3,266.33382
2017/11/6,266.33382,2,2,-2,4,6,-2,5,18,23,5,7,1,1,0,197.67346
2017/11/7,197.67346,1,6,2,-3,0,0,12,-8,0,3,9,-1,3,3,64.75302
2017/11/8,64.75302,-2,-8,43,3,10,2,-4,1,29,6,2,2,4,3,4.82146
2017/11/9,4.82146,-3,-1,-54,-3,8,-6,-13,-8,-41,-3,-8,-3,-9,-5,43.63166
2017/11/10,43.63166,3,0,-1,4,-13,2,5,17,29,13,10,2,1,-1,-55.90124
2017/11/11,-55.90124,4,6,53,2,-2,0,0,0,9,-5,15,3,5,1,-131.5229
2017/11/12,-131.5229,-1,1,40,5,7,3,0,26,38,5,12,0,3,6,-125.24412
2017/11/13,-125.24412,0,-6,-57,-11,24,-2,-2,-29,-56,-6,-15,4,-10,-3,-275.16514
2017/11/14,-275.16514,-5,1,-14,2,-9,5,1,-2,7,-7,-16,-4,10,-3,-173.13014
2017/11/15,-173.13014,4,2,-7,-3,-19,-5,4,5,-6,0,9,0,-7,0,-104.52488
2017/11/16,-104.52488,-1,-2,25,2,3,0,-7,-15,-8,1,0,-4,6,2,116.40642
2017/11/17,116.40642,2,0,-33,-2,-11,-4,0,18,7,4,-15,-2,-4,3,290.43594
2017/11/18,290.43594,-1,-2,16,3,-4,1,-1,-12,-19,-17,-7,4,-5,-6,414.11658
2017/11/19,414.11658,-4,3,-19,-6,2,0,0,-10,-7,5,4,-1,1,1,253.38258
2017/11/20,253.38258,0,-3,11,7,8,9,5,17,28,5,3,1,4,1,274.4483
2017/11/21,274.4483,3,2,-9,-2,-6,-8,-5,-9,-24,-3,-7,0,-4,1,190.83338
2017/11/22,190.83338,-5,1,-6,-4,10,6,3,4,9,9,8,-2,4,-1,48.95386
2017/11/23,48.95386,5,0,13,5,-4,-6,-2,-11,-2,-4,2,1,-4,1,96.23012
2017/11/24,96.23012,-2,1,18,-4,-5,0,1,9,15,7,-5,0,3,0,66.36192
2017/11/25,66.36192,1,-1,-24,0,-2,4,-2,-2,-12,-2,0,2,-1,-2,48.66484
2017/11/26,48.66484,-2,-2,-6,5,12,1,-2,11,-5,-6,3,-2,2,2,90.36208
2017/11/27,90.36208,0,2,15,0,-2,-5,8,-11,3,-5,-7,7,-1,1,244.86874
2017/11/28,244.86874,4,-2,-8,-2,11,5,0,13,16,13,11,-4,0,6,290.052
2017/11/29,290.052,2,11,-1,-2,-17,0,-1,-7,17,-4,5,-4,3,1,360.71176
2017/11/30,360.71176,2,-10,-4,5,1,4,-2,14,-1,8,-4,0,6,-4,325.67
2017/12/1,325.67,-3,12,4,-4,7,-7,0,-8,-14,-10,2,4,-8,-1,287.99296
2017/12/2,287.99296,17,-14,200,5,-13,-1,3,-6,7,-5,12,-2,2,0,319.95366
2017/12/3,319.95366,-16,5,-164,-7,10,-2,0,4,17,7,-11,-2,-2,3,270.61466
2017/12/4,270.61466,0,5,-31,1,-6,8,-6,8,-22,4,-5,5,3,-1,276.02264
2017/12/5,276.02264,-4,-3,41,3,10,-1,5,-5,17,0,7,4,1,-2,341.10034
2017/12/6,341.10034,-1,-5,21,1,11,-5,-1,10,10,-3,11,-10,1,-3,346.21226
2017/12/7,346.21226,1,4,-67,-2,-13,-2,1,-14,-15,-4,-8,1,-7,-1,531.4136
2017/12/8,531.4136,1,-3,0,2,-1,5,-3,-4,-30,-2,-16,3,1,5,1086.12068
2017/12/9,1086.12068,10,2,70,-1,6,4,11,37,49,19,31,-1,8,0,934.96294
2017/12/10,934.96294,-10,6,-10,-2,-5,1,-11,-2,-1,-9,-1,1,-6,-3,711.60084
2017/12/11,711.60084,1,-10,-24,-2,2,-4,2,-21,-26,-13,-19,-2,-2,2,598.27434
2017/12/12,598.27434,7,7,-22,12,-3,0,-2,8,1,8,2,3,2,-3,644.22734
2017/12/13,644.22734,-5,-8,20,-10,6,0,2,-12,8,-4,-6,4,-3,2,154.88434
2017/12/14,154.88434,-2,0,-27,6,-8,2,-2,28,-10,9,3,-6,8,2,160.186
2017/12/15,160.186,-5,3,-10,-2,-3,-3,-1,-35,-2,-1,-7,1,-8,-3,307.21156
2017/12/16,307.21156,3,-3,-1,-5,-6,-2,3,-17,-10,-13,-6,-2,-1,1,580.419
2017/12/17,580.419,6,15,46,3,10,9,1,40,63,31,54,3,9,13,547.31332
2017/12/18,547.31332,-7,-14,-25,0,-3,-7,-1,-14,-47,-13,-33,-1,-7,-16,402.67832
2017/12/19,402.67832,6,2,-7,4,7,4,3,2,24,-13,-3,1,4,1,430.698
2017/12/20,430.698,16,6,5,20,3,3,1,53,44,43,38,7,1,10,211.64394
2017/12/21,211.64394,-6,0,41,-15,11,1,-3,-16,11,-10,6,-2,8,-3,-349.12566
2017/12/22,-349.12566,-15,-6,-2,-6,-8,-12,-1,-5,-13,11,-13,-6,-5,3,-690.23466
2017/12/23,-690.23466,8,-2,66,-3,9,7,34,-17,1,-15,1,-1,-3,-1,-819.768
2017/12/24,-819.768,-7,8,51,-2,-8,4,-19,11,6,8,10,6,9,-4,-720.319
2017/12/25,-720.319,-1,-8,-173,-4,-21,-10,-19,-51,-100,-33,-55,-6,-15,0,-757.58734
2017/12/26,-757.58734,-3,3,8,7,0,7,4,7,11,-2,0,2,-1,-8,-381.44868
2017/12/27,-381.44868,4,-4,22,-2,4,-3,0,1,23,-4,15,6,4,5,-9.69234
2017/12/28,-9.69234,2,2,90,1,25,4,0,20,36,22,12,5,13,0,79.67532
2017/12/29,79.67532,1,9,-13,5,-4,-4,5,1,12,22,58,-4,-9,1,-195.93602
2017/12/30,-195.93602,-2,-8,-91,-9,-20,7,-4,-20,-44,-45,-76,-7,-3,-3,138.19298
2017/12/31,138.19298,-5,2,57,8,7,-2,-4,23,10,12,19,-1,-3,3,-180.69088
2018/1/1,-180.69088,0,-4,18,-5,-12,-8,3,-24,-35,-8,-20,-5,2,2,-366.69468
2018/1/2,-366.69468,11,5,-6,2,21,1,3,48,69,15,34,9,4,-1,-355.427
2018/1/3,-355.427,-5,7,-2,0,-2,19,-2,-19,-27,-2,-7,-4,5,-4,125.055
2018/1/4,125.055,-3,-12,-42,-2,-10,5,-2,-16,-17,-8,-23,6,-8,-1,82.62434
2018/1/5,82.62434,9,7,-14,4,0,-15,0,16,28,14,16,2,1,5,396.7562
2018/1/6,396.7562,-4,-7,89,-6,4,2,-4,-34,-24,-16,-18,-11,-4,0,601.709
2018/1/7,601.709,-2,4,-86,2,-12,-7,3,18,-12,11,6,6,1,-3,701.40226
2018/1/8,701.40226,3,-5,71,4,20,0,5,13,36,5,7,1,1,2,329.123
2018/1/9,329.123,0,5,-81,-7,-18,-3,-7,-23,-50,-15,-20,-6,-2,-3,42.529
2018/1/10,42.529,6,1,17,9,2,-3,1,9,10,-1,6,3,4,5,-97.02032
2018/1/11,-97.02032,-9,-4,85,-5,15,6,6,11,32,5,26,-4,1,-4,-409.54432
2018/1/12,-409.54432,-3,0,-100,-4,-16,-4,-4,-20,-52,-3,-30,6,-8,-1,-804.48078
2018/1/13,-804.48078,11,7,121,6,26,10,2,38,73,27,50,6,13,2,-547.71792
2018/1/14,-547.71792,-15,-5,-130,-4,-25,-8,-1,-34,-72,-29,-41,-12,-11,-4,-153.22666
2018/1/15,-153.22666,4,-1,19,0,6,-5,-1,10,5,6,4,4,7,2,-172.26666
2018/1/16,-172.26666,2,2,-29,4,-2,5,-1,-14,18,1,1,0,-5,1,-222.84046
2018/1/17,-222.84046,6,-4,16,3,-6,1,0,0,-24,-13,-14,3,3,-3,-423.15914
2018/1/18,-423.15914,-9,15,34,5,16,1,1,28,28,18,22,-3,3,4,-559.18708
2018/1/19,-559.18708,-1,-15,-39,-10,-13,-4,0,-37,-46,-13,-26,-4,-7,-5,-630.87
2018/1/20,-630.87,0,0,0,-6,-4,-4,-3,-9,-1,-16,-3,-1,-4,-1,-486.096
2018/1/21,-486.096,1,0,76,2,0,3,2,13,28,24,33,-1,7,1,-212.28054
2018/1/22,-212.28054,5,0,25,2,11,6,2,8,16,-4,-19,1,-2,2,64.84594
2018/1/23,64.84594,-6,2,-13,4,3,-3,2,-10,-19,-4,-1,4,-1,-2,-114.47066
2018/1/24,-114.47066,8,3,-68,-1,-7,-3,-2,28,21,5,11,-1,-2,8,-24.47186
2018/1/25,-24.47186,1,3,365,18,12,7,11,25,71,32,79,5,6,1,-28.03634
2018/1/26,-28.03634,-9,-3,-330,-12,-14,-5,3,-61,-108,-39,-100,-8,-6,-6,-347.27066
2018/1/27,-347.27066,5,-6,-44,-11,2,-3,-20,9,-4,-6,-2,2,-1,-2,-107.0826
2018/1/28,-107.0826,2,4,-2,10,-2,6,2,10,38,4,18,3,5,4,196.03668
2018/1/29,196.03668,-5,-2,-17,-7,6,-7,8,8,-20,-1,-19,-5,-3,0,108.5292
2018/1/30,108.5292,2,-1,18,2,-2,2,-5,-9,5,17,14,1,3,1,-13.92066
2018/1/31,-13.92066,-2,1,188,0,2,-1,0,-2,11,-6,7,3,-2,-1,-206.07566
2018/2/1,-206.07566,6,1,-199,1,-3,1,3,4,3,-15,-10,-3,-1,-1,-168.96032
2018/2/2,-168.96032,-6,-4,-12,-3,-2,1,-7,-7,-28,10,-13,3,-1,-2,-488.30366
2018/2/3,-488.30366,2,2,0,-2,0,-2,3,-14,8,-8,0,0,-1,1,-572.76166
2018/2/4,-572.76166,-3,0,-4,-2,-3,12,-3,9,-7,10,3,1,0,2,-427.19532
2018/2/5,-427.19532,6,3,16,3,7,7,6,6,30,5,5,3,5,5,-356.68266
2018/2/6,-356.68266,0,5,4,2,22,-10,-2,-2,3,-5,17,-3,2,-5,-657.23934
2018/2/7,-657.23934,-3,-6,-5,-5,-26,-7,1,-14,-39,-7,-20,-3,-5,-5,-279.525
2018/2/8,-279.525,-2,1,30,10,4,12,-4,32,47,0,24,3,9,6,-160.38866
2018/2/9,-160.38866,4,-3,18,-5,13,-9,9,-3,-10,13,-1,3,-6,-4,-167.22834
2018/2/10,-167.22834,-1,1,-57,-5,-17,-3,-6,-8,-17,-16,-7,-1,-3,5,26.97366
2018/2/11,26.97366,-4,1,15,2,-2,2,-2,-17,-13,6,-15,-7,-2,-7,296.21198
2018/2/12,296.21198,2,-3,-10,0,9,-1,1,33,32,12,6,6,7,8,131.56432
2018/2/13,131.56432,0,1,33,-2,-8,-4,-1,-30,-24,-13,-2,-2,-6,-7,142.27698
2018/2/14,142.27698,1,-1,-35,4,1,2,-1,13,17,3,17,0,2,5,71.44616
2018/2/15,71.44616,11,6,180,7,5,1,8,13,61,22,55,0,8,0,159.82332
2018/2/16,159.82332,-14,-4,-105,-10,1,-5,-7,-24,-86,-29,-58,-2,-5,-5,331.45548
2018/2/17,331.45548,2,5,-79,2,-10,4,1,-4,-7,-3,-23,-2,-3,-1,356.74134
2018/2/18,356.74134,-5,-1,-8,2,2,-2,-2,19,21,5,2,0,0,1,406.12968
2018/2/19,406.12968,1,-7,10,0,6,0,-1,-24,-25,-3,-5,2,-4,3,381.10618
2018/2/20,381.10618,-1,5,-9,-4,-10,2,5,13,3,-2,3,0,3,1,355.26636
2018/2/21,355.26636,3,-3,28,0,10,-2,-4,-6,17,5,12,0,-2,-2,282.64756
2018/2/22,282.64756,4,0,14,1,-6,11,-1,9,0,0,2,0,5,10,81.12602
2018/2/23,81.12602,-1,1,-34,-1,-5,-11,0,-5,0,-4,-6,0,8,-10,-182.18398
2018/2/24,-182.18398,-1,-1,-9,5,0,1,2,11,-13,1,-8,3,-7,-1,-68.23632
2018/2/25,-68.23632,-2,0,51,-4,4,1,1,-20,2,6,4,-1,-4,-1,-282.6018
2018/2/26,-282.6018,1,0,-40,3,4,7,1,17,9,6,1,-3,1,3,-338.75968
2018/2/27,-338.75968,3,2,95,0,6,-2,3,-7,22,2,14,3,1,0,-36.83768
2018/2/28,-36.83768,-1,4,52,-1,1,-3,-1,-4,-2,-8,3,-2,-2,7,166.56232
2018/3/1,166.56232,-1,-7,-118,-4,-19,-6,-2,-3,-36,-8,-22,1,-3,-7,41.60966
2018/3/2,41.60966,-2,2,30,5,11,8,3,10,29,8,15,5,2,1,262.28514
2018/3/3,262.28514,2,-2,-35,-4,-6,-3,-5,-10,-22,-8,-4,-6,4,-5,271.84434
2018/3/4,271.84434,-5,2,-27,1,-3,-1,3,-8,-13,-4,-14,-2,-6,0,195.669
2018/3/5,195.669,6,-2,70,0,18,3,-1,19,28,12,20,0,5,5,133.25966
2018/3/6,133.25966,-1,5,49,9,-3,4,9,9,36,-2,10,6,-4,-5,245.07498
2018/3/7,245.07498,-1,0,-69,-7,-1,-5,-8,-3,-46,-3,-10,0,6,2,-49.2367
2018/3/8,-49.2367,0,0,-42,-3,-6,-4,1,-14,-15,-8,-25,-7,-3,0,-187.55142
2018/3/9,-187.55142,2,-3,-5,0,0,0,1,-2,16,5,16,2,-3,-3,-379.56734
2018/3/10,-379.56734,-4,-2,1,0,-9,1,-5,-6,-17,-3,-13,-1,-1,2,-468.18066
2018/3/11,-468.18066,3,0,-11,0,0,6,-1,6,13,2,-3,4,-1,2,-569.90758
2018/3/12,-569.90758,-2,1,20,3,14,-3,3,5,1,3,12,-1,12,-3,-200.3603
2018/3/13,-200.3603,3,4,-4,1,3,-4,3,6,8,2,-6,1,-9,2,-187.0429
2018/3/14,-187.0429,2,2,77,2,3,8,-3,-1,20,22,37,-1,4,1,-54.8823
2018/3/15,-54.8823,-5,-2,-91,-4,-7,-4,4,15,-12,-4,-3,2,0,0,-187.5493
2018/3/16,-187.5493,-1,-2,78,2,-1,-3,-5,-2,5,-10,-20,-4,-1,0,-77.57604
2018/3/17,-77.57604,4,2,-51,-4,-7,4,-4,-14,-17,4,-3,1,-1,-1,-246.19892
2018/3/18,-246.19892,12,3,137,4,7,-1,8,25,68,13,39,5,2,6,-237.83374
2018/3/19,-237.83374,-15,-9,-112,9,-5,-1,1,-23,-56,-24,-41,-6,-4,-6,-196.657
2018/3/20,-196.657,1,4,-53,-11,16,-4,-6,0,-4,-5,-9,0,4,0,52.10032
2018/3/21,52.10032,-3,0,24,-2,-14,4,-2,-13,-8,3,10,2,-4,-1,125.76532
2018/3/22,125.76532,1,-1,-11,5,5,-1,5,11,11,5,-7,-2,2,-2,83.47026
2018/3/23,83.47026,-1,2,56,-2,-8,1,-4,-6,-14,-2,15,0,-1,2,139.34674
2018/3/24,139.34674,2,-4,61,3,1,2,3,10,26,12,47,3,4,4,103.08232
2018/3/25,103.08232,-3,3,-36,-5,-3,1,-4,-11,-4,1,-26,-3,-5,-1,50.069
2018/3/26,50.069,2,5,45,2,5,-1,5,12,31,-8,-18,2,14,1,-73.93034
2018/3/27,-73.93034,2,-4,-95,0,-1,-3,4,7,-25,-3,10,0,-11,4,-150.041
2018/3/28,-150.041,3,1,-12,-1,9,1,-5,4,-21,4,-18,-2,1,-5,-162.84266
2018/3/29,-162.84266,4,4,71,4,-13,4,1,-15,24,-1,20,5,1,0,-145.28932
2018/3/30,-145.28932,-3,-2,-37,-7,3,-1,-2,8,-22,0,-9,-4,-4,-2,-298.01966
2018/3/31,-298.01966,3,-2,98,3,-1,-2,4,2,24,-3,22,12,3,2,-346.95298
2018/4/1,-346.95298,-2,-1,-43,8,0,2,-2,-4,9,14,-10,-11,3,1,-252.41366
2018/4/2,-252.41366,-1,0,-1,-5,15,2,-2,-3,-27,-5,-15,4,3,-2,-216.418
2018/4/3,-216.418,-8,-2,-11,-2,-6,0,0,6,37,0,18,0,-2,1,-184.90634
2018/4/4,-184.90634,4,-1,-92,-2,-5,-7,-2,-19,-58,-13,-36,-5,-7,-2,47.631
2018/4/5,47.631,0,2,-17,0,-3,4,2,19,6,4,7,-3,2,0,-18.954
2018/4/6,-18.954,-3,-4,-1,1,-3,-1,3,-24,-11,-8,-15,2,-5,-1,-21.794
2018/4/7,-21.794,6,5,6,0,-4,-3,-6,10,8,4,3,1,3,2,-38.04566
2018/4/8,-38.04566,-4,-1,-1,-2,5,1,2,1,12,-1,4,-2,1,1,-21.63206
2018/4/9,-21.63206,-1,-2,-1,-1,6,4,2,-9,-23,-2,-10,3,-4,-5,-78.55566
2018/4/10,-78.55566,1,3,41,5,-3,-4,2,10,21,6,16,-3,4,7,-17.69766
2018/4/11,-17.69766,1,-5,-43,-2,-7,-3,-4,3,-13,1,0,3,0,-1,-7.78766
2018/4/12,-7.78766,0,4,2,-1,9,2,-2,-11,8,-2,-10,-1,-1,-4,64.478
2018/4/13,64.478,-1,-4,24,-1,-1,1,-1,3,7,2,17,5,1,1,184.0314
2018/4/14,184.0314,-1,1,31,1,-5,1,3,0,0,-2,1,-1,-2,0,175.55032
2018/4/15,175.55032,3,3,71,8,18,0,3,13,7,8,8,-3,5,2,267.44752
2018/4/16,267.44752,-1,-1,-63,-9,-15,2,-1,0,-13,-10,-11,-2,-2,4,310.63532
2018/4/17,310.63532,-2,1,27,-1,4,1,3,-11,8,11,17,-1,-1,-4,223.50732
2018/4/18,223.50732,-1,1,-23,4,-5,-6,-1,0,-8,-10,-11,5,0,-5,9.51438
2018/4/19,9.51438,3,0,-37,-2,1,4,1,6,-10,2,-16,-2,0,0,53.90582
2018/4/20,53.90582,2,-4,-34,-2,-4,-4,-7,-14,-17,-9,-1,-2,0,1,43.6228
2018/4/21,43.6228,-4,0,17,0,1,3,0,-1,21,10,2,2,0,1,102.394
2018/4/22,102.394,-1,0,16,0,1,-4,2,1,0,-6,1,-2,-1,-1,152.68034
2018/4/23,152.68034,1,0,-27,2,1,0,-1,1,-6,3,-9,0,-2,0,188.62628
2018/4/24,188.62628,1,4,46,9,1,9,5,22,23,2,23,1,1,2,153.78484
2018/4/25,153.78484,0,-2,13,-10,1,-3,-3,-10,-4,1,2,8,0,-1,260.18338
2018/4/26,260.18338,4,0,10,2,-6,-4,0,-6,0,-2,-3,-8,-3,-2,28.55766
2018/4/27,28.55766,-3,-1,-37,2,1,4,-2,15,-9,11,-1,1,11,3,90.23866
2018/4/28,90.23866,-2,1,36,-4,0,-2,-1,-22,3,-15,2,1,-4,3,34.35434
2018/4/29,34.35434,5,-2,-8,1,8,1,2,1,-2,9,-13,-2,-5,2,78.46234
2018/4/30,78.46234,-5,2,-61,2,2,-6,-1,5,-17,-8,-7,0,4,-7,-44.25206
2018/5/1,-44.25206,1,0,-3,-2,1,6,3,18,17,0,3,1,-3,0,52.81266
2018/5/2,52.81266,1,-1,116,2,3,1,0,9,33,23,31,4,3,3,-36.65234
2018/5/3,-36.65234,-1,2,-118,-5,-8,-3,1,-26,-32,-23,-31,-7,-3,-4,42.22118
2018/5/4,42.22118,-1,-2,56,3,9,4,-3,9,12,17,26,3,1,1,62.61898
2018/5/5,62.61898,2,4,-5,-1,-11,-4,1,2,-17,-17,-7,-3,-1,0,75.28966
2018/5/6,75.28966,3,-4,46,1,11,-3,3,5,27,13,14,1,6,-1,108.74734
2018/5/7,108.74734,-3,0,-61,1,-4,4,-1,-16,-18,-2,-19,5,-4,5,110.99992
2018/5/8,110.99992,2,6,-11,4,7,7,1,32,61,7,12,-2,1,1,24.8528
2018/5/9,24.8528,1,-3,12,-4,-13,-10,-3,-18,-46,-12,-21,2,2,0,-82.132
2018/5/10,-82.132,-3,2,33,9,2,0,-3,-14,-14,-4,12,-1,-7,-1,-77.73768
2018/5/11,-77.73768,3,-4,-21,-9,-3,2,0,5,12,10,-4,1,4,5,-140.36468
2018/5/12,-140.36468,-4,3,-40,0,-4,-1,1,-7,-44,-19,-17,-5,-4,-7,-232.26966
2018/5/13,-232.26966,8,-3,23,6,6,-1,2,15,31,7,14,1,8,0,-172.26866
2018/5/14,-172.26866,-3,5,351,-1,38,6,11,5,82,46,68,1,-3,2,-100.19132
2018/5/15,-100.19132,-1,-3,-330,-3,-29,-1,-11,-8,-95,-41,-58,0,-3,-2,-134.00064
2018/5/16,-134.00064,-1,0,-42,-3,-12,-2,3,-7,14,5,-23,-1,-1,-1,-118.00504
2018/5/17,-118.00504,-2,-3,2,-3,-3,-3,-7,-12,-19,-11,-4,1,-1,0,-25.61692
