,dprice_MA_t_1,d2,d6,d8,d12,d17,d22,d23,d29,d36,d58,d66,d67,d69,d93,dprice_MA_t
2018/5/18,-25.61692,-3,-1,-3,7,4,-1,2,30,14,4,13,-3,3,4,-75.64566
2018/5/19,-75.64566,1,0,-11,-6,-8,-1,1,-31,-15,-6,-17,-1,-3,-3,-97.51932
2018/5/20,-97.51932,2,1,59,3,3,6,0,9,20,2,15,1,-1,2,-85.75
2018/5/21,-85.75,-3,-2,-41,-3,6,-4,-2,-9,-6,-2,-2,0,1,-4,-0.81028
2018/5/22,-0.81028,4,2,-15,8,3,9,0,31,10,1,11,3,7,3,8.97056
2018/5/23,8.97056,-4,4,4,-2,3,-5,3,-18,9,16,7,7,-2,-2,-18.10768
2018/5/24,-18.10768,1,-5,3,-7,-6,-4,-1,4,-19,-6,-21,-10,-1,1,-136.86302
2018/5/25,-136.86302,1,0,35,4,5,1,0,-3,10,3,24,-1,-1,2,-131.41902
2018/5/26,-131.41902,6,4,-10,1,-6,0,-3,4,4,-4,-11,2,-1,-3,-212.43368
2018/5/27,-212.43368,-7,1,-30,-2,-1,1,5,0,1,-5,-13,-1,3,1,-208.52958
2018/5/28,-208.52958,5,1,15,-1,3,2,1,6,-4,-2,11,4,4,4,-130.74968
2018/5/29,-130.74968,0,-5,62,6,3,-4,-2,-7,9,4,18,3,-1,1,-85.03968
2018/5/30,-85.03968,0,15,-26,-3,7,-1,3,8,1,7,1,-2,1,-5,-21.26334
2018/5/31,-21.26334,-6,-15,-47,1,-16,5,1,-11,-31,-16,-28,-3,-9,0,-11.96868
2018/6/1,-11.96868,0,2,36,-1,2,2,-4,12,14,14,18,3,2,4,29.70512
2018/6/2,29.70512,4,0,2,-4,1,-5,-1,-21,-1,-7,-7,1,1,-5,34.663
2018/6/3,34.663,-3,-1,-39,2,0,0,-3,-4,-16,-4,-19,-6,-4,0,102.921
2018/6/4,102.921,-1,-2,9,-1,-2,-1,4,6,-10,5,9,1,4,-1,48.00186
2018/6/5,48.00186,0,5,28,2,10,-1,-3,5,25,1,6,-1,-3,1,22.97566
2018/6/6,22.97566,0,-4,-31,2,6,3,2,2,-11,2,-9,4,5,-2,24.85762
2018/6/7,24.85762,-1,0,-11,-2,-21,-4,-3,-15,-10,-12,-8,-2,-5,2,24.09332
2018/6/8,24.09332,3,-1,2,4,5,7,10,16,31,14,18,-2,2,2,6.22498
2018/6/9,6.22498,-1,1,3,-6,-1,-6,-7,-6,-24,-12,-13,2,2,-2,-15.94654
2018/6/10,-15.94654,6,3,27,0,5,5,0,2,32,8,18,1,-1,3,12.827
2018/6/11,12.827,-5,0,5,1,0,4,3,4,9,0,2,-1,-1,-3,-167.76676
2018/6/12,-167.76676,1,2,17,2,22,-6,-3,52,16,26,11,7,8,5,-155.987
2018/6/13,-155.987,-2,-2,-45,0,-16,3,1,3,-7,-11,-8,-4,1,-5,-228.238
2018/6/14,-228.238,6,-4,-1,2,8,-3,1,-45,-26,-20,-10,-2,-4,2,-260.89068
2018/6/15,-260.89068,-3,0,-9,-2,-14,4,9,4,-4,24,-1,1,4,2,-183.47902
2018/6/16,-183.47902,-5,2,3,-4,-3,-7,-13,-23,-9,-27,-9,9,-11,-4,-68.56008
2018/6/17,-68.56008,7,1,27,8,5,5,2,27,25,13,20,0,7,3,-73.25034
2018/6/18,-73.25034,-3,-2,-25,-5,-3,-1,-1,-11,-28,-10,-12,-12,-4,-3,-14.134
2018/6/19,-14.134,2,4,-5,2,0,2,3,13,27,13,3,6,4,6,79.5576
2018/6/20,79.5576,-4,0,14,-1,-4,-4,2,-20,-22,-11,-9,2,-5,-7,17.99734
2018/6/21,17.99734,2,-2,-9,7,6,9,5,50,31,22,27,-5,13,4,56.12606
2018/6/22,56.12606,0,-1,-5,-10,10,-11,-7,-51,-34,-25,-21,0,-12,-3,44.89498
2018/6/23,44.89498,0,2,20,1,-17,0,1,-14,-6,3,-5,-1,-1,-2,-26.36768
2018/6/24,-26.36768,-3,-4,13,1,8,8,-4,30,19,12,16,-3,3,7,-114.37644
2018/6/25,-114.37644,0,4,-10,2,9,-2,4,-19,11,-6,-9,6,-4,-4,-139.99834
2018/6/26,-139.99834,1,0,-24,-1,-12,-7,-5,0,-33,-5,-8,-4,0,0,-100.65416
2018/6/27,-100.65416,1,-4,26,-2,4,2,0,1,0,2,7,-2,4,-1,-103.06132
2018/6/28,-103.06132,3,2,15,4,-4,1,-1,-4,1,2,-2,4,-2,1,-45.45566
2018/6/29,-45.45566,5,-2,0,-2,0,-1,5,0,17,8,4,-3,1,1,-6.74192
2018/6/30,-6.74192,-8,5,-37,1,0,1,-3,9,-12,-11,-9,1,4,10,-25.66116
2018/7/1,-25.66116,-1,0,1,-5,-3,-1,0,-17,-4,-2,-2,-1,-4,-11,33.98866
2018/7/2,33.98866,2,0,-5,9,-3,1,5,16,-8,-6,3,0,-1,-2,31.23182
2018/7/3,31.23182,1,-6,5,-3,13,3,-2,-2,11,11,-7,2,4,3,72.15482
2018/7/4,72.15482,-1,6,-3,-2,-4,-3,0,1,-3,-4,11,-1,-4,-3,101.15792
2018/7/5,101.15792,-4,0,1,0,2,-2,-1,-4,-10,-2,-7,1,-1,0,136.91732
2018/7/6,136.91732,6,4,2,0,2,5,0,2,10,2,6,3,2,1,44.39716
2018/7/7,44.39716,-5,-9,3,-4,-12,-5,-1,5,3,-2,-5,-7,-3,0,38.9484
2018/7/8,38.9484,4,4,11,6,5,8,1,22,65,31,22,7,11,7,25.6425
2018/7/9,25.6425,-2,1,-9,-3,26,-8,6,-11,-33,-16,-9,-3,-7,-3,27.97466
2018/7/10,27.97466,-3,1,-3,-1,-20,0,-4,-16,-40,-11,-10,-4,-1,-1,26.11666
2018/7/11,26.11666,5,5,-6,1,-4,3,-5,-5,-3,-8,1,7,-1,-5,-18.517
2018/7/12,-18.517,-3,-7,1,2,-2,-2,1,15,15,9,-8,-7,0,3,-38.42656
2018/7/13,-38.42656,-1,-1,-3,-3,9,0,2,0,14,1,0,0,-1,-1,-72.13732
2018/7/14,-72.13732,2,-3,4,-1,-7,0,0,-10,-26,-8,3,5,-2,1,-101.84032
2018/7/15,-101.84032,2,0,-2,-1,-7,0,0,-17,-8,-2,-8,-5,3,0,-96.57448
2018/7/16,-96.57448,-2,1,-1,0,4,3,5,11,24,12,3,4,-2,1,-38.78198
2018/7/17,-38.78198,-1,-1,2,2,5,-4,-7,9,-13,-2,15,1,6,-3,27.40552
2018/7/18,27.40552,0,2,3,3,-4,2,5,4,19,-6,2,-3,-5,1,127.26318
2018/7/19,127.26318,1,0,3,-6,0,0,-7,-3,-15,-2,-14,0,1,5,230.86084
2018/7/20,230.86084,4,5,59,7,5,-1,3,8,25,14,27,6,2,-6,231.08034
2018/7/21,231.08034,-1,-5,-66,-5,-9,1,-1,-19,-35,-9,-31,-6,0,2,222.23266
2018/7/22,222.23266,-4,4,4,4,9,1,-1,16,48,5,16,0,3,0,167.6209
2018/7/23,167.6209,1,-4,3,-6,-1,-3,0,-18,-58,-7,-8,1,-8,0,116.27566
2018/7/24,116.27566,14,3,-7,8,5,4,1,38,64,11,23,0,7,13,58.2445
2018/7/25,58.2445,-11,1,0,-6,1,0,0,-35,-59,-19,-29,1,-3,-13,143.30566
2018/7/26,143.30566,-3,-4,0,4,-7,1,6,20,37,10,9,1,0,0,164.624
2018/7/27,164.624,0,2,0,-5,-2,1,-8,-28,-30,-5,-1,-3,-3,-3,166.96576
2018/7/28,166.96576,-1,-2,69,2,5,-4,15,27,32,5,8,-1,3,3,114.79366
2018/7/29,114.79366,0,-2,-66,-3,-11,-1,-14,-16,-36,-7,-5,0,-1,-2,98.4735
2018/7/30,98.4735,-1,2,4,3,3,1,5,5,12,3,-3,0,-1,2,18.68234
2018/7/31,18.68234,2,-1,-5,-1,13,4,-3,13,16,12,3,3,2,2,-21.60332
2018/8/1,-21.60332,-1,6,1,7,-16,-5,-1,-11,-16,-12,-9,0,3,-1,-54.10466
2018/8/2,-54.10466,0,-8,-4,-4,11,2,0,-14,1,1,-2,0,-8,-1,-90.87766
2018/8/3,-90.87766,3,3,2,-4,-9,-1,2,4,6,6,15,-3,1,3,-117.8205
2018/8/4,-117.8205,0,0,0,3,-1,1,-1,-4,-13,-5,-8,2,0,-2,-162.3685
2018/8/5,-162.3685,-5,-3,-1,-2,-5,-1,-1,-1,-10,-1,-2,-2,1,-1,-179.07584
2018/8/6,-179.07584,3,2,12,5,6,-1,-1,8,4,-1,-1,2,2,-3,-183.6165
2018/8/7,-183.6165,0,2,58,-1,8,4,3,1,31,9,16,-1,0,1,-116.558
2018/8/8,-116.558,-1,-1,-69,1,7,-1,-1,6,-14,-7,-11,5,-3,2,-119.92716
2018/8/9,-119.92716,5,-2,-3,-4,-13,-2,1,-5,-7,7,-2,-5,1,-2,-188.82644
2018/8/10,-188.82644,0,4,9,15,9,8,3,63,72,36,39,4,14,7,-170.19932
2018/8/11,-170.19932,-1,0,-5,-14,-13,-5,2,-44,-55,-30,-28,-3,-15,-1,-120.44472
2018/8/12,-120.44472,-4,-2,2,-3,2,-5,-5,-1,7,1,-2,2,2,-3,-158.48514
2018/8/13,-158.48514,8,12,2,6,1,6,7,45,31,20,11,0,11,0,-136.47632
2018/8/14,-136.47632,-4,-9,-5,2,-2,-2,-2,-58,-36,-30,-17,-4,-9,2,-20.65938
2018/8/15,-20.65938,1,0,37,-7,9,4,-4,7,10,0,11,6,0,-1,-69.166
2018/8/16,-69.166,-2,1,-14,0,-3,-4,2,0,11,7,12,-1,-2,-1,-6.76356
2018/8/17,-6.76356,-1,-6,-8,2,1,4,3,-2,-14,-1,-15,-2,8,7,29.39516
2018/8/18,29.39516,2,5,-14,2,1,-2,6,-11,-23,-2,-5,1,-8,-4,33.15366
2018/8/19,33.15366,-2,-3,8,0,12,-5,-14,-1,4,-4,-9,-3,4,-6,17.93016
2018/8/20,17.93016,7,3,62,-4,-5,1,4,16,25,2,18,2,-3,1,70.62416
2018/8/21,70.62416,-10,-3,-70,2,-12,2,-6,-11,-25,2,-10,1,-2,1,14.37644
2018/8/22,14.37644,3,3,23,0,5,-1,4,-8,1,-2,1,-2,4,-1,11.72338
2018/8/23,11.72338,3,2,45,2,0,2,0,34,14,2,21,4,1,3,19.66582
2018/8/24,19.66582,0,-2,-67,-3,6,-4,2,-22,-12,-6,-28,-4,-1,-4,-0.36784
2018/8/25,-0.36784,-1,-2,10,3,-13,1,-3,40,6,25,18,7,2,8,27.91646
2018/8/26,27.91646,-2,3,5,-3,4,3,7,-33,4,-8,-7,-7,-2,-4,56.974
2018/8/27,56.974,-3,5,-10,3,0,-2,-6,7,13,-11,-2,2,1,4,54.40558
2018/8/28,54.40558,5,-2,-4,4,13,1,6,1,-6,-4,-2,1,0,-5,28.80738
2018/8/29,28.80738,-1,2,-1,-7,-9,-2,-3,-16,-9,6,-6,-2,0,6,113.03164
2018/8/30,113.03164,-3,-5,16,3,-3,0,-4,20,18,0,17,-2,-2,-2,102.12612
2018/8/31,102.12612,7,10,22,3,8,10,8,10,21,13,17,7,8,1,42.64664
2018/9/1,42.64664,-4,-13,-15,-3,-15,-8,-5,-25,-23,-12,-35,-5,-7,-8,61.7344
2018/9/2,61.7344,9,-2,44,1,6,6,2,-5,-6,-7,7,-2,-1,3,76.3361
2018/9/3,76.3361,-2,12,-64,0,1,1,2,51,84,46,38,8,9,8,49.57908
2018/9/4,49.57908,-8,-4,3,-1,6,-6,-5,-36,-76,-40,-38,-3,-10,-8,41.33456
2018/9/5,41.33456,2,-3,25,4,12,6,7,21,17,10,16,8,8,8,78.838
2018/9/6,78.838,3,-3,14,-3,-21,-2,-7,-31,-8,21,-4,-6,-6,-2,26.2246
2018/9/7,26.2246,-7,2,-9,6,3,-4,0,15,-22,-8,10,-4,1,-6,-133.53502
2018/9/8,-133.53502,8,0,-16,-3,9,-1,5,-9,10,-12,-2,0,4,2,-160.62626
2018/9/9,-160.62626,2,3,-21,1,-11,8,-1,26,50,7,2,5,2,1,-178.96836
2018/9/10,-178.96836,-8,-6,-2,-7,2,-8,-2,-16,-64,-24,-20,-5,-11,-1,-208.08536
2018/9/11,-208.08536,2,7,43,5,13,9,6,-9,43,31,9,9,2,-1,-163.03832
2018/9/12,-163.03832,0,-4,-43,-2,-6,-8,-6,33,24,-5,2,-1,10,-3,-27.39018
2018/9/13,-27.39018,-2,-2,0,-7,-1,1,-4,-49,-84,-27,-16,-11,-9,1,-34.33334
2018/9/14,-34.33334,0,2,76,3,-9,-4,5,-4,17,-3,17,7,1,2,16.81434
2018/9/15,16.81434,2,0,-67,3,11,3,-1,33,31,9,15,-5,0,3,42.52734
2018/9/16,42.52734,0,1,-6,-3,-6,-1,-5,-6,-22,5,-16,-2,-1,-1,44.15546
2018/9/17,44.15546,-3,-4,0,2,3,2,2,-20,-10,-12,-8,3,3,-2,36.86468
2018/9/18,36.86468,-1,11,26,-4,5,5,1,54,56,33,11,2,3,2,25.49268
2018/9/19,25.49268,3,-4,-29,3,41,-1,-3,-17,-24,-14,-19,-2,-6,3,-30.7095
2018/9/20,-30.7095,2,-7,-1,-2,-52,-6,2,-44,-42,-22,-3,-2,1,-8,-32.64716
2018/9/21,-32.64716,-1,8,2,2,2,10,-1,10,36,15,5,5,3,6,-20.01846
2018/9/22,-20.01846,-3,-8,-2,-3,-7,-14,1,-9,-32,-8,-2,-4,-6,-5,37.86934
2018/9/23,37.86934,-1,-1,0,4,-2,2,-3,-5,-18,-11,-4,-2,-2,-2,61.74234
2018/9/24,61.74234,2,0,1,-4,0,2,-1,-6,3,1,-10,-1,6,-1,82.76268
2018/9/25,82.76268,2,7,0,9,16,3,4,30,36,18,28,8,7,6,60.69552
2018/9/26,60.69552,-1,-2,6,-3,7,-3,0,18,14,4,25,2,-5,-1,-1.22068
2018/9/27,-1.22068,-2,1,-6,0,-1,13,-1,-14,-28,-2,-30,-4,-4,3,-40.27182
2018/9/28,-40.27182,-3,-1,9,-6,-14,-12,-1,-27,-14,-18,-9,-5,1,-6,-34.76716
2018/9/29,-34.76716,1,1,-9,4,-1,-3,1,5,6,9,-4,0,-3,4,-6.6205
2018/9/30,-6.6205,2,-4,2,1,-3,9,2,42,24,8,23,4,11,0,-17.766
2018/10/1,-17.766,1,-3,-4,-3,5,-10,-5,-50,-43,-9,-27,-5,-10,-4,36.13516
2018/10/2,36.13516,-2,6,2,6,-1,5,5,14,4,6,8,3,8,3,24.46732
2018/10/3,24.46732,1,1,3,-4,-3,1,-3,3,11,-5,5,0,-7,-2,5.43298
2018/10/4,5.43298,9,-6,-1,-3,-3,-6,0,-14,-13,-7,-13,-2,0,-1,-41.38802
2018/10/5,-41.38802,-6,4,-1,2,26,-2,2,18,29,10,14,1,2,0,2.6308
2018/10/6,2.6308,-3,-1,5,-1,-26,3,-2,-9,-22,-15,-11,-3,-4,2,-4.9172
2018/10/7,-4.9172,-3,0,-8,4,0,1,0,-1,5,5,12,5,0,1,-1.89636
2018/10/8,-1.89636,5,2,27,-2,2,7,3,13,50,20,24,3,6,4,-0.82086
2018/10/9,-0.82086,0,-6,-26,-2,-1,-8,-4,-28,-69,-18,-41,-7,-9,-8,29.63302
2018/10/10,29.63302,4,7,5,2,16,-1,2,8,29,6,5,1,5,7,11.61666
2018/10/11,11.61666,-5,0,-5,-3,-14,3,4,21,23,-5,11,5,-1,-2,-1.108
2018/10/12,-1.108,1,-2,0,-1,-6,-4,0,-19,-35,-4,-21,-2,0,-3,-66.57016
2018/10/13,-66.57016,0,-3,0,1,4,5,-4,3,-9,-6,14,-5,-2,-2,-59.60132
2018/10/14,-59.60132,-1,-3,-1,1,-4,-2,-1,-11,3,6,-9,3,0,2,-71.58436
2018/10/15,-71.58436,2,5,1,0,7,0,3,12,19,3,11,2,4,0,-64.4625
2018/10/16,-64.4625,-2,-3,9,4,6,5,0,2,-13,-2,-4,-2,-6,1,-22.0875
2018/10/17,-22.0875,-2,4,-9,-4,-9,-4,0,2,5,10,8,2,4,-2,69.5965
2018/10/18,69.5965,0,-5,-1,5,0,-3,-3,-5,-2,-7,-10,-1,4,2,67.14906
2018/10/19,67.14906,2,8,2,-5,0,-1,3,12,3,7,12,-3,-2,0,61.47898
2018/10/20,61.47898,-2,-6,-1,-2,-4,1,-4,-16,-14,-15,-13,4,-4,-3,37.609
2018/10/21,37.609,1,-2,0,1,1,0,0,-2,2,9,3,-3,-2,2,7.25084
2018/10/22,7.25084,1,1,0,0,8,0,2,-1,5,-5,-9,4,4,7,-13.00334
2018/10/23,-13.00334,-2,-2,0,-2,-4,2,3,1,19,10,11,-6,3,-7,-19.55806
2018/10/24,-19.55806,-1,3,0,3,0,-3,1,12,-11,-10,-1,1,-2,-1,-17.32294
2018/10/25,-17.32294,2,1,4,3,11,4,-4,20,1,5,3,1,-1,6,4.17318
2018/10/26,4.17318,5,2,2,0,-6,0,3,-1,13,4,1,2,3,-6,-2.14866
2018/10/27,-2.14866,-5,4,-3,0,-11,0,-5,-24,-31,-7,-11,1,-5,2,-11.56966
2018/10/28,-11.56966,-2,-5,-3,-1,3,1,11,17,28,2,5,-4,1,4,-6.51366
2018/10/29,-6.51366,5,-1,2,-2,5,1,-9,-10,-5,0,2,4,2,-1,-6.64086
2018/10/30,-6.64086,-1,3,3,0,-2,-1,1,-18,-5,-10,0,-4,3,-5,-25.12832
2018/10/31,-25.12832,-3,-4,-4,6,8,-1,-1,15,-12,8,-3,3,-4,0,-33.72592
2018/11/1,-33.72592,0,3,0,-5,-6,-1,0,-1,16,0,4,-1,-1,4,-32.69382
2018/11/2,-32.69382,3,-1,20,-3,6,-2,3,9,-1,1,1,3,3,-1,-24.72732
2018/11/3,-24.72732,3,4,-10,9,-4,7,1,40,31,17,1,-2,5,2,-12.1095
2018/11/4,-12.1095,0,-1,-4,4,3,-3,1,-30,-22,-9,10,8,-3,1,-3.7745
2018/11/5,-3.7745,-3,-1,0,-12,1,-4,-6,-10,-4,-8,-5,3,-4,-1,16.4841
2018/11/6,16.4841,0,-2,-1,7,12,2,0,16,2,22,2,-13,5,-2,25.33618
2018/11/7,25.33618,1,4,-3,-2,-15,-3,1,-17,1,-13,6,-2,-5,0,20.61468
2018/11/8,20.61468,-1,-4,8,-3,-3,5,-1,2,3,-3,-13,2,5,3,30.22318
2018/11/9,30.22318,-1,-2,-10,1,-3,-1,-1,-14,-29,-9,-8,3,-4,-6,24.49118
2018/11/10,24.49118,-1,3,7,0,-2,-3,4,-5,16,5,3,-4,-3,0,3.88152
2018/11/11,3.88152,2,-3,-7,3,3,3,4,10,3,-2,0,3,1,0,-7.58632
2018/11/12,-7.58632,-3,7,3,0,-4,1,-6,18,-6,5,11,-2,1,6,-13.41716
2018/11/13,-13.41716,3,-5,0,-3,16,4,2,-19,6,-2,-15,-1,0,-6,-27.37066
2018/11/14,-27.37066,6,1,6,4,-2,-2,-3,10,-2,-1,18,3,6,5,-22.83766
2018/11/15,-22.83766,-6,-4,-8,-4,-8,-1,5,1,14,-5,1,-2,-8,0,-47.02516
2018/11/16,-47.02516,-3,6,3,-3,-3,3,-5,-12,-3,-1,-3,0,2,-1,-156.77066
2018/11/17,-156.77066,2,-2,10,1,-1,2,1,-2,-17,7,-2,1,-4,-1,-156.41516
2018/11/18,-156.41516,-2,-1,-11,5,3,-5,-1,6,7,-4,1,0,1,-1,-168.73866
2018/11/19,-168.73866,1,9,4,6,5,2,5,29,32,33,1,12,10,3,-153.20384
2018/11/20,-153.20384,1,-1,-1,-12,15,-2,3,-25,6,-21,-4,6,-2,-4,-174.44252
2018/11/21,-174.44252,2,-11,-5,4,-9,2,-9,7,-32,-13,5,-16,-6,-1,-188.64202
2018/11/22,-188.64202,2,5,0,0,-9,-3,4,11,17,16,7,-1,7,3,-212.50236
2018/11/23,-212.50236,-7,-6,-2,-3,6,-4,-3,-45,-60,-22,-30,-4,-9,-5,-201.88918
2018/11/24,-201.88918,3,-1,0,-2,-13,-1,-2,1,9,1,-3,0,-1,1,-259.34134
2018/11/25,-259.34134,-2,2,2,0,-3,1,2,-1,-4,-3,5,0,1,1,-202.02034
2018/11/26,-202.02034,0,-2,4,4,9,-2,0,-2,6,2,3,2,2,-2,-169.69168
2018/11/27,-169.69168,0,3,-5,0,9,6,12,17,7,4,2,-1,2,4,-122.62884
2018/11/28,-122.62884,2,-1,3,0,-11,-5,-9,0,13,2,1,1,2,-2,-159.42584
2018/11/29,-159.42584,-3,-1,-4,3,-1,0,1,-3,-9,4,7,0,-4,-2,-41.17674
2018/11/30,-41.17674,5,1,2,-2,8,3,1,-6,-6,-8,-13,-1,-2,2,-6.0115
2018/12/1,-6.0115,-2,0,0,-5,-11,-2,-7,7,8,-4,0,1,1,2,56.672
2018/12/2,56.672,-2,0,-2,1,5,2,5,-9,8,3,8,5,1,0,39.24816
2018/12/3,39.24816,2,6,2,0,8,-1,-2,2,-17,-3,-8,-4,4,0,83.17566
2018/12/4,83.17566,-3,-4,-3,1,-9,0,-3,-6,-8,10,4,-2,-1,-3,-27.18594
2018/12/5,-27.18594,5,1,4,3,5,2,13,32,23,3,6,1,-1,3,-60.458
2018/12/6,-60.458,-1,0,1,0,-8,-3,-10,-2,-17,-6,0,1,1,3,-49.7045
2018/12/7,-49.7045,-4,0,14,-4,4,0,0,-22,13,-7,0,1,-6,-4,-74.76682
2018/12/8,-74.76682,-1,-4,-18,3,-4,5,-2,11,-6,1,-4,0,3,1,-152.38066
2018/12/9,-152.38066,5,2,-1,0,-4,-5,0,-7,1,5,1,-2,0,-1,-106.43682
2018/12/10,-106.43682,-2,-2,0,-1,10,-2,2,4,-4,-4,3,2,1,-1,-86.538
2018/12/11,-86.538,1,3,3,0,1,2,0,1,19,3,2,-3,-1,2,-66.87782
2018/12/12,-66.87782,-2,7,8,0,-10,8,1,-8,-9,0,-2,4,1,-1,-63.35066
2018/12/13,-63.35066,0,-3,-7,0,13,-6,-3,21,16,7,2,-2,1,3,11.27934
2018/12/14,11.27934,4,-4,3,0,-6,1,13,-11,-8,6,14,-2,0,-3,-5.7155
2018/12/15,-5.7155,-4,-2,-5,-2,-4,-2,-12,-13,-20,-16,-25,2,-1,-1,-50.08582
2018/12/16,-50.08582,-1,0,2,0,-1,-1,5,3,6,3,15,1,-2,1,-59.73216
2018/12/17,-59.73216,2,6,3,6,9,5,-3,47,60,13,6,11,3,10,-30.99032
2018/12/18,-30.99032,3,-2,-5,-3,8,8,-1,-28,-12,9,9,-11,11,-8,-13.92698
2018/12/19,-13.92698,-3,-1,0,1,-14,-12,-1,-8,-33,-10,-27,4,-4,-2,32.14152
2018/12/20,32.14152,2,-4,-1,2,0,-2,5,-6,-11,-8,1,-7,-12,-1,105.93368
2018/12/21,105.93368,-2,4,12,-5,6,1,-4,2,11,3,9,4,6,4,151.51034
2018/12/22,151.51034,-1,-2,-9,0,-1,4,0,10,7,-3,-2,0,-1,-4,148.87416
2018/12/23,148.87416,2,-2,2,0,-4,-4,1,-1,-16,2,-2,0,1,3,103.71366
2018/12/24,103.71366,-3,1,18,0,-3,-1,-1,-8,-4,-2,6,-4,-1,-3,92.00166
2018/12/25,92.00166,4,-1,-22,3,7,6,0,16,20,22,-4,13,0,3,74.10966
2018/12/26,74.10966,-4,1,3,-2,-11,-5,-1,-22,-18,-26,2,-11,0,-3,-33.79416
2018/12/27,-33.79416,8,2,3,20,13,12,15,43,40,21,20,5,6,23,-38.04598
2018/12/28,-38.04598,-2,4,-6,-15,7,-6,-9,23,43,6,9,-4,3,-15,-32.62682
2018/12/29,-32.62682,-3,-6,3,-3,-6,-4,-5,-48,-73,-20,-42,1,-10,-4,-56.71466
2018/12/30,-56.71466,-2,2,-5,-3,-10,-1,-3,-20,-14,-6,6,-4,-2,-5,-53.261
2018/12/31,-53.261,-2,2,3,1,1,5,2,11,0,-4,-6,0,0,1,3.80832
2019/1/1,3.80832,0,-4,-3,-2,2,-7,-1,-15,-19,-3,-2,-1,0,-2,-6.76668
2019/1/2,-6.76668,4,1,0,5,4,4,1,30,29,13,19,6,2,5,0.88648
2019/1/3,0.88648,-3,-2,2,-5,-5,-3,1,-20,-16,-10,-12,-5,-3,-4,24.64666
2019/1/4,24.64666,0,0,9,-1,1,2,-2,-5,9,4,-3,0,5,1,-9.29766
2019/1/5,-9.29766,-1,0,-11,4,1,-1,3,3,11,7,8,0,-1,0,-2.05898
2019/1/6,-2.05898,1,1,0,-3,-7,-2,0,-11,-15,-10,-6,0,-5,-1,15.38834
2019/1/7,15.38834,5,0,7,2,3,3,-1,27,30,8,6,-1,20,2,33.63702
2019/1/8,33.63702,-2,3,-6,-1,-1,-2,-2,-10,-35,-8,-14,2,-18,2,33.79102
2019/1/9,33.79102,-4,-4,-1,-1,0,-2,0,-22,-14,-5,1,0,-1,-5,34.01152
2019/1/10,34.01152,3,-1,1,0,13,0,-1,7,13,13,6,0,0,0,42.30234
2019/1/11,42.30234,0,3,-1,0,-8,9,5,17,25,9,8,2,4,4,-11.18032
2019/1/12,-11.18032,4,1,1,-1,-6,-5,11,12,13,-2,13,-3,0,2,-52.74416
2019/1/13,-52.74416,-6,-4,-1,2,-1,0,-15,-19,-38,-16,-24,1,-4,-5,-77.9495
2019/1/14,-77.9495,1,3,1,-2,11,-1,0,-11,2,0,-1,-2,1,0,-87.20268
2019/1/15,-87.20268,-1,0,-1,-1,-11,-3,1,0,-7,4,-1,3,2,6,-86.00418
2019/1/16,-86.00418,-1,0,2,3,10,2,0,2,4,-5,1,0,1,-7,-31.16018
2019/1/17,-31.16018,3,-2,-2,-1,-8,1,-1,-4,-9,1,-2,-2,-3,2,-7.09302
2019/1/18,-7.09302,1,4,3,-1,9,-2,3,5,35,11,18,0,2,2,-5.27636
2019/1/19,-5.27636,0,-2,5,6,-9,0,0,16,-9,-5,-6,2,-3,-3,6.51064
2019/1/20,6.51064,-3,-2,1,-6,1,2,-2,-18,-13,-4,-9,-2,2,0,17.28114
2019/1/21,17.28114,1,2,-2,0,4,0,-1,17,2,1,19,1,-1,3,-7.33152
